id,year,neighborhood,percentage
413,1970,south_kenwood,4.166666666
414,1970,south_shore,9.946236559
415,1971,hyde_park,74.92997199
416,1971,black_belt,3.221288516
417,1971,south_woodlawn,0.280112045
418,1971,north_woodlawn,4.761904762
419,1971,south_kenwood,7.56302521
420,1971,south_shore,9.24369748
421,1973,hyde_park,76.51991614
422,1973,black_belt,2.096436059
423,1973,south_woodlawn,0.209643606
424,1973,north_woodlawn,7.127882599
425,1973,south_kenwood,6.708595388
426,1973,south_shore,7.337526205
427,1974,hyde_park,75.88235294
428,1974,black_belt,2.352941176
429,1974,south_woodlawn,0.882352941
430,1974,north_woodlawn,8.823529412
431,1974,south_kenwood,7.352941177
432,1974,south_shore,4.705882353
433,1975,hyde_park,78.93491124
434,1975,black_belt,2.721893491
435,1975,south_woodlawn,0.591715976
436,1975,north_woodlawn,3.786982249
437,1975,south_kenwood,7.455621302
438,1975,south_shore,6.50887574
439,1976,hyde_park,79.51070336
440,1976,black_belt,1.681957187
441,1976,south_woodlawn,0.152905199
442,1976,north_woodlawn,3.975535168
443,1976,south_kenwood,5.504587156
444,1976,south_shore,9.174311927
445,1977,hyde_park,71.27659574
446,1977,black_belt,2.73556231
447,1977,south_woodlawn,0.607902736
448,1977,north_woodlawn,4.7112462
449,1977,south_kenwood,5.015197568
450,1977,south_shore,15.65349544
451,1978,hyde_park,78.67647059
452,1978,black_belt,0.919117647
453,1978,south_woodlawn,1.470588236
454,1978,north_woodlawn,3.308823529
455,1978,south_kenwood,9.375
456,1978,south_shore,6.25
457,1979,hyde_park,80.41237114
458,1979,black_belt,2.886597938
459,1979,south_woodlawn,0.412371134
460,1979,north_woodlawn,2.474226805
461,1979,south_kenwood,11.13402061
462,1979,south_shore,2.680412371
463,1980,hyde_park,80
464,1980,black_belt,6.06060606
465,1980,south_woodlawn,0.404040405
466,1980,north_woodlawn,4.242424243
467,1980,south_kenwood,8.484848485
468,1980,south_shore,0.808080808
469,1981,hyde_park,85.2739726
470,1981,black_belt,4.623287671
471,1981,south_woodlawn,0.171232876
472,1981,north_woodlawn,3.082191781
473,1981,south_kenwood,6.335616438
474,1981,south_shore,0.51369863
475,1982,hyde_park,87.53926702
476,1982,black_belt,2.827225131
477,1982,south_woodlawn,0.314136125
478,1982,north_woodlawn,2.094240838
479,1982,south_kenwood,6.387434555
480,1982,south_shore,0.837696335
481,1983,hyde_park,83.38108883
482,1983,black_belt,2.578796561
483,1983,south_woodlawn,0.143266475
484,1983,north_woodlawn,4.58452722
485,1983,south_kenwood,7.593123209
486,1983,south_shore,1.719197707
487,1984,hyde_park,82.55613126
488,1984,black_belt,2.590673575
489,1984,south_woodlawn,0
490,1984,north_woodlawn,1.727115717
491,1984,south_kenwood,12.08981002
492,1984,south_shore,1.03626943
493,1985,hyde_park,76.31133672
494,1985,black_belt,4.737732657
495,1985,south_woodlawn,0.169204738
496,1985,north_woodlawn,2.876480542
497,1985,south_kenwood,12.01353638
498,1985,south_shore,3.891708968
499,1986,hyde_park,76.35524798
500,1986,black_belt,1.499423299
501,1986,south_woodlawn,0.807381776
502,1986,north_woodlawn,5.651672433
503,1986,south_kenwood,10.84198385
504,1986,south_shore,4.844290657
