Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
50_E._HURON_@50_E_HURON_ST@.html,50_E._HURON_,50_E_HURON_ST,50 E. HURON ,50 E HURON ST,"Chicago, IL","50 E HURON ST, Chicago, IL","1", Daily Maroon,September,"26","1980",,"-87.6261361","41.8951348","50 e huron st, chicago, il 60611, usa"
24_East_CHICAGO_@24_E_CHICAGO_AVE@.html,24_East_CHICAGO_,24_E_CHICAGO_AVE,24 East CHICAGO ,24 E CHICAGO AVE,"Chicago, IL","24 E CHICAGO AVE, Chicago, IL","1", Daily Maroon,May,"25","1973",,"-87.6272897","41.8969807","24 e chicago ave, chicago, il 60611, usa"
156_East_SUPERIOR_@156_E_SUPERIOR_ST@.html,156_East_SUPERIOR_,156_E_SUPERIOR_ST,156 East SUPERIOR ,156 E SUPERIOR ST,"Chicago, IL","156 E SUPERIOR ST, Chicago, IL","1", Daily Maroon,January,"14","1966",,"-87.6231915","41.8960355","156 e superior st, chicago, il 60611, usa"
156_East_SUPERIOR_@156_E_SUPERIOR_ST@.html,156_East_SUPERIOR_,156_E_SUPERIOR_ST,156 East SUPERIOR ,156 E SUPERIOR ST,"Chicago, IL","156 E SUPERIOR ST, Chicago, IL","1", Daily Maroon,October,"1","1965",,"-87.6231915","41.8960355","156 e superior st, chicago, il 60611, usa"
1313_East_60TH_@1313_E_60TH_ST@.html,1313_East_60TH_,1313_E_60TH_ST,1313 East 60TH ,1313 E 60TH ST,"Chicago, IL","1313 E 60TH ST, Chicago, IL","2", Daily Maroon,April,"5","1977",,"-87.5928071","41.7858456","chapin hall, 1313 e 60th st, chicago, il 60637, usa"
1313_East_60TH_@1313_E_60TH_ST@.html,1313_East_60TH_,1313_E_60TH_ST,1313 East 60TH ,1313 E 60TH ST,"Chicago, IL","1313 E 60TH ST, Chicago, IL","1", Daily Maroon,July,"13","1979",,"-87.5928071","41.7858456","chapin hall, 1313 e 60th st, chicago, il 60637, usa"
1313_East_60TH_@1313_E_60TH_ST@.html,1313_East_60TH_,1313_E_60TH_ST,1313 East 60TH ,1313 E 60TH ST,"Chicago, IL","1313 E 60TH ST, Chicago, IL","1", Daily Maroon,May,"3","1977",,"-87.5928071","41.7858456","chapin hall, 1313 e 60th st, chicago, il 60637, usa"
1313_East_60TH_@1313_E_60TH_ST@.html,1313_East_60TH_,1313_E_60TH_ST,1313 East 60TH ,1313 E 60TH ST,"Chicago, IL","1313 E 60TH ST, Chicago, IL","1", Daily Maroon,April,"20","1938",,"-87.5928071","41.7858456","chapin hall, 1313 e 60th st, chicago, il 60637, usa"
1313_East_60TH_@1313_E_60TH_ST@.html,1313_East_60TH_,1313_E_60TH_ST,1313 East 60TH ,1313 E 60TH ST,"Chicago, IL","1313 E 60TH ST, Chicago, IL","1", Daily Maroon,January,"13","1976",,"-87.5928071","41.7858456","chapin hall, 1313 e 60th st, chicago, il 60637, usa"
1313_East_60TH_@1313_E_60TH_ST@.html,1313_East_60TH_,1313_E_60TH_ST,1313 East 60TH ,1313 E 60TH ST,"Chicago, IL","1313 E 60TH ST, Chicago, IL","1", Daily Maroon,February,"2","1939",,"-87.5928071","41.7858456","chapin hall, 1313 e 60th st, chicago, il 60637, usa"
