Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
12_South_CLARK_@12_S_CLARK_ST@.html,12_South_CLARK_,12_S_CLARK_ST,12 South CLARK ,12 S CLARK ST,"Chicago, IL","12 S CLARK ST, Chicago, IL","1", Daily Maroon,September,"20","1949",,"-87.6311183","41.8815239","12 s clark st, chicago, il 60603, usa"
5700_S._CORNELL_@5700_S_CORNELL_DR@.html,5700_S._CORNELL_,5700_S_CORNELL_DR,5700 S. CORNELL ,5700 S CORNELL DR,"Chicago, IL","5700 S CORNELL DR, Chicago, IL","1", Daily Maroon,May,"18","1979",,"-87.5852086","41.7862418","5700 s cornell dr, chicago, il 60637, usa"
7_South_WABASH_@7_S_WABASH_AVE@.html,7_South_WABASH_,7_S_WABASH_AVE,7 South WABASH ,7 S WABASH AVE,"Chicago, IL","7 S WABASH AVE, Chicago, IL","1", Daily Maroon,March,"10","1926",,"-87.6259555","41.8818168","7 s wabash ave, chicago, il 60603, usa"
330_S._DEARBORN_@330_S_DEARBORN_ST@.html,330_S._DEARBORN_,330_S_DEARBORN_ST,330 S. DEARBORN ,330 S DEARBORN ST,"Chicago, IL","330 S DEARBORN ST, Chicago, IL","1", Daily Maroon,September,"23","1983",,"-87.6294797","41.8773098","330 s dearborn st, chicago, il 60604, usa"
144_South_CLARK_@144_S_CLARK_ST@.html,144_South_CLARK_,144_S_CLARK_ST,144 South CLARK ,144 S CLARK ST,"Chicago, IL","144 S CLARK ST, Chicago, IL","1", Daily Maroon,November,"19","1948",,"-87.6311703","41.8795993","144 s clark st, chicago, il 60603, usa"
144_South_CLARK_@144_S_CLARK_ST@.html,144_South_CLARK_,144_S_CLARK_ST,144 South CLARK ,144 S CLARK ST,"Chicago, IL","144 S CLARK ST, Chicago, IL","1", Daily Maroon,November,"9","1948",,"-87.6311703","41.8795993","144 s clark st, chicago, il 60603, usa"
3830_South_MICHIGAN_@3830_S_MICHIGAN_AVE@.html,3830_South_MICHIGAN_,3830_S_MICHIGAN_AVE,3830 South MICHIGAN ,3830 S MICHIGAN AVE,"Chicago, IL","3830 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,January,"12","1973",,"-87.623628","41.82452","3830 s michigan ave, chicago, il 60653, usa"
148_South_CLARK_@148_S_CLARK_ST@.html,148_South_CLARK_,148_S_CLARK_ST,148 South CLARK ,148 S CLARK ST,"Chicago, IL","148 S CLARK ST, Chicago, IL","1", Daily Maroon,October,"8","1930",,"-87.6310961","41.8795925","148 s clark st, chicago, il 60603, usa"
148_South_CLARK_@148_S_CLARK_ST@.html,148_South_CLARK_,148_S_CLARK_ST,148 South CLARK ,148 S CLARK ST,"Chicago, IL","148 S CLARK ST, Chicago, IL","1", Daily Maroon,October,"9","1930",,"-87.6310961","41.8795925","148 s clark st, chicago, il 60603, usa"
133_South_WABASH_@133_S_WABASH_AVE@.html,133_South_WABASH_,133_S_WABASH_AVE,133 South WABASH ,133 S WABASH AVE,"Chicago, IL","133 S WABASH AVE, Chicago, IL","1", Daily Maroon,September,"0","1969",,"-87.6261342","41.8800117","133 s wabash ave, chicago, il 60603, usa"
