,State,Date,Count
316,FL,2015-07-04,1
317,FL,2015-07-12,1
318,FL,2015-07-14,1
319,FL,2015-07-16,1
320,FL,2015-07-17,1
321,FL,2015-07-21,1
322,FL,2015-07-25,1
323,FL,2015-08-23,2
324,FL,2015-08-25,3
325,FL,2015-09-06,1
326,FL,2015-09-15,2
327,FL,2015-09-21,2
328,FL,2015-09-22,3
329,FL,2015-09-24,1
330,FL,2015-09-28,1
331,FL,2015-10-07,1
332,FL,2015-10-14,2
333,FL,2015-10-15,2
334,FL,2015-10-18,1
335,FL,2015-10-24,1
336,FL,2015-10-26,1
337,FL,2015-10-28,1
338,FL,2015-10-29,1
339,FL,2015-11-06,1
340,FL,2015-11-17,1
341,FL,2015-11-18,1
342,FL,2015-11-19,2
343,FL,2015-12-05,2
344,FL,2015-12-09,1
345,FL,2015-12-21,1
346,FL,2015-12-22,2
347,GA,2015-02-03,1
348,GA,2015-02-22,1
349,GA,2015-02-23,2
350,GA,2015-02-26,1
351,GA,2015-03-09,1
352,GA,2015-03-10,1
353,GA,2015-03-17,1
354,GA,2015-03-24,1
355,GA,2015-03-25,1
356,GA,2015-04-08,2
357,GA,2015-04-29,1
358,GA,2015-04-30,1
359,GA,2015-05-07,1
360,GA,2015-05-27,1
361,GA,2015-05-28,1
362,GA,2015-05-31,1
363,GA,2015-06-22,1
364,GA,2015-07-10,2
365,GA,2015-07-11,1
366,GA,2015-07-12,1
367,GA,2015-07-13,1
368,GA,2015-07-21,2
369,GA,2015-07-24,1
370,GA,2015-07-25,1
371,GA,2015-08-06,1
372,GA,2015-08-31,1
373,GA,2015-09-27,1
374,GA,2015-10-14,2
375,GA,2015-10-16,1
376,GA,2015-10-24,1
377,GA,2015-10-25,1
378,GA,2015-10-27,1
379,GA,2015-11-13,2
380,GA,2015-11-16,2
381,GA,2015-11-17,2
382,GA,2015-11-20,2
383,GA,2015-11-30,1
384,GA,2015-12-21,1
385,HI,2015-05-12,1
386,HI,2015-08-05,1
387,IA,2015-01-06,2
388,IA,2015-01-07,1
389,IA,2015-06-09,2
390,IA,2015-09-13,1
391,IA,2015-10-20,2
392,ID,2015-01-24,1
393,ID,2015-02-16,2
394,ID,2015-03-18,1
395,ID,2015-03-19,1
396,ID,2015-04-06,1
397,ID,2015-08-11,1
398,ID,2015-11-01,1
399,ID,2015-12-26,2
400,IL,2015-01-07,1
401,IL,2015-01-11,2
402,IL,2015-03-02,1
403,IL,2015-04-02,4
404,IL,2015-04-04,1
405,IL,2015-04-13,2
406,IL,2015-04-17,2
407,IL,2015-04-28,2
408,IL,2015-05-15,2
409,IL,2015-05-16,1
410,IL,2015-05-17,1
411,IL,2015-06-20,1
412,IL,2015-07-09,1
413,IL,2015-07-10,1
414,IL,2015-07-12,1
415,IL,2015-08-04,1
416,IL,2015-08-29,2
417,IL,2015-09-25,1
418,IL,2015-10-04,1
419,IL,2015-10-10,1
420,IL,2015-12-26,2
421,IN,2015-01-15,1
422,IN,2015-02-21,1
423,IN,2015-02-25,1
424,IN,2015-02-26,1
